ID	CODA_UTF8	CODA	Egyptian-Word_UTF8	Egyptian-Word	Egyptian-POS-CHE	Egyptian-POS-LDC	MSA-Lemma_UTF8	MSA-Lemma	English-Equivalent	CALIMA_EGY_LEMMA	CALIMA_ALMOR_POS	SAMA_LEMMA	SAMA_POS
37122	صِينِيَّة	Siyniy~ap	صِينِيَّة	Siyniy~ap	noun	NOUN	صِينِيَّة	Siyniy~ap	porcelain;;china	Siyniy~ap_1	pos:noun	Siyniy~ap_1	pos:noun
37123	صِينِيَّة	Siyniy~ap	صِينِيَّة	Siyniy~ap	noun	NOUN	صِينِيَّة	Siyniy~ap	roundabout	Siyniy~ap_1	pos:noun	Siyniy~ap_1	pos:noun
37124	صِينِيَّة	Siyniy~ap	صِينِيَّة	Siyniy~ap	noun	NOUN	صِينِيَّة	Siyniy~ap	shallow pan	Siyniy~ap_1	pos:noun	Siyniy~ap_1	pos:noun
37125	صِينِيَّة	Siyniy~ap	صِينِيَّة	Siyniy~ap	noun	NOUN	صِينِيَّة	Siyniy~ap	tray	Siyniy~ap_1	pos:noun	Siyniy~ap_1	pos:noun
37126	صِيوان	SiywAn	صِوان	SiwAn	noun	NOUN	صِيوان	SiywAn	pavilion	SiwAn_1	pos:noun	SiywAn_1	pos:noun
37127	صِيّت	Siy~t	صِيّت	Siy~t	verb	PV	صِيّت	Siy~t	chant the religious songs	UNK	UNK	UNK	UNK
37128	صِيِّد	Siy~id	صِيِّد	Siy~id	noun	NOUN	صَيْد	Sayod	hunting	UNK	UNK	Sayod_1	pos:noun
37129	صْبِّن	Sob~in	صْبِّن	Sob~in	verb	PV	صَبَّن	Sab~an	handle in a sling	UNK	UNK	Sab~an_1	pos:verb
37130	صْرْح	SoroH	صْرْح	SoroH	verb	PV	صَرَّح	Sar~aH	declare;;announce	UNK	UNK	Sar~aH_1	pos:verb
37131	صْعِيدَى	SoEiydaY	صْعِيدَى	SoEiydaY	noun	NOUN	صَعِيدِيّ	SaEiydiy~	upper Egyptian	UNK	UNK	SaEiydiy~_1	pos:noun
37132	صْلِّب	Sol~ib	صْلِّب	Sol~ib	verb	PV	صَلَّب	Sal~ab	fasten flimsily together	UNK	UNK	Sal~ab_1	pos:verb
37133	صْمْت	Somot	صْمْت	Somot	noun	NOUN	صَمْت	Samot	silence	UNK	UNK	Samot_1	pos:noun
37134	صْمْم	Somom	صْمْم	Somom	verb	PV	صَمَّم	Sam~am	be determined;;be persistent	UNK	UNK	Sam~am_1	pos:verb
37135	ضابِب	DAbib	ضابِب	DAbib	pple-act	ADJ	ضابّ	DAb~	foggy	DAbib_1	pos:adj	UNK	UNK
37136	ضابِط	DAbiT	ضابِط	DAbiT	noun	NOUN	ضابِط	DAbiT	controller;;precepts;;restraining orders	DAbiT_1	pos:noun	DAbiT_1	pos:noun
37137	ضابِط	DAbiT	ضابِط	DAbiT	noun	NOUN	ضابِط	DAbiT	controller;;precepts;;restraining orders	DAbiT_2	pos:noun	DAbiT_1	pos:noun
37138	ضابِط	DAbiT	ضابِط	DAbiT	noun	NOUN	ضابِط	DAbiT	officer	DAbiT_1	pos:noun	DAbiT_2	pos:noun
37139	ضابِط	DAbiT	ضابِط	DAbiT	noun	NOUN	ضابِط	DAbiT	officer	DAbiT_2	pos:noun	DAbiT_2	pos:noun
37140	ضابِط	DAbiT	ظابِط	ZAbiT	noun	NOUN	ضابِط	DAbiT	officer	ZAbiT_1	pos:noun	DAbiT_2	pos:noun
37141	ضابِط	DAbiT	ظابِط	ZAbiT	pple-act	ADJ	ضابِط	DAbiT	officer	ZAbiT_1	pos:adj	DAbiT_2	pos:noun
37142	ضابِع	DAbiE	ضابِع	DAbiE	pple-act	ADJ	ضابِع	DAbiE	_	DAbiE_1	pos:adj	UNK	UNK
37143	ضاحِك	DAHik	داحِك	dAHik	pple-act	ADJ	ضاحِك	DAHik	laughing	dAHik_1	pos:adj	DAHik_1	pos:adj
